[2026-08-26T12:24:06.071+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [queued]>
[2026-08-26T12:24:06.091+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [queued]>
[2026-08-26T12:24:06.092+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-08-26T12:24:06.170+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): kafka_producer> on 2026-08-25 00:00:00+00:00
[2026-08-26T12:24:06.186+0000] {standard_task_runner.py:60} INFO - Started process 574 to run task
[2026-08-26T12:24:06.194+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'retailpulse_medallion_pipeline', 'kafka_producer', 'scheduled__2026-08-25T00:00:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/retailpulse_dag.py', '--cfg-path', '/tmp/tmpyt5p8jew']
[2026-08-26T12:24:06.201+0000] {standard_task_runner.py:88} INFO - Job 3: Subtask kafka_producer
[2026-08-26T12:24:06.414+0000] {task_command.py:423} INFO - Running <TaskInstance: retailpulse_medallion_pipeline.kafka_producer scheduled__2026-08-25T00:00:00+00:00 [running]> on host 1decbd92f565
[2026-08-26T12:24:06.575+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='retailpulse' AIRFLOW_CTX_DAG_ID='retailpulse_medallion_pipeline' AIRFLOW_CTX_TASK_ID='kafka_producer' AIRFLOW_CTX_EXECUTION_DATE='2026-08-25T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-08-25T00:00:00+00:00'
[2026-08-26T12:24:36.926+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:36,925 | INFO | kafka_producer | Sent 150000 events
[2026-08-26T12:24:37.649+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:37,649 | INFO | kafka_producer | Sent 155000 events
[2026-08-26T12:24:38.357+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:38,357 | INFO | kafka_producer | Sent 160000 events
[2026-08-26T12:24:39.057+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:39,056 | INFO | kafka_producer | Sent 165000 events
[2026-08-26T12:24:39.929+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:39,929 | INFO | kafka_producer | Sent 170000 events
[2026-08-26T12:24:40.720+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:40,720 | INFO | kafka_producer | Sent 175000 events
[2026-08-26T12:24:41.422+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:41,422 | INFO | kafka_producer | Sent 180000 events
[2026-08-26T12:24:42.164+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:42,163 | INFO | kafka_producer | Sent 185000 events
[2026-08-26T12:24:42.826+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:42,826 | INFO | kafka_producer | Sent 190000 events
[2026-08-26T12:24:43.641+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:43,641 | INFO | kafka_producer | Sent 195000 events
[2026-08-26T12:24:44.326+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:44,325 | INFO | kafka_producer | Sent 200000 events
[2026-08-26T12:24:45.102+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:45,102 | INFO | kafka_producer | Sent 205000 events
[2026-08-26T12:24:45.950+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:45,949 | INFO | kafka_producer | Sent 210000 events
[2026-08-26T12:24:46.601+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:46,601 | INFO | kafka_producer | Sent 215000 events
[2026-08-26T12:24:47.320+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:47,320 | INFO | kafka_producer | Sent 220000 events
[2026-08-26T12:24:48.035+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:48,035 | INFO | kafka_producer | Sent 225000 events
[2026-08-26T12:24:48.848+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:48,848 | INFO | kafka_producer | Sent 230000 events
[2026-08-26T12:24:49.504+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:49,503 | INFO | kafka_producer | Sent 235000 events
[2026-08-26T12:24:50.278+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:50,277 | INFO | kafka_producer | Sent 240000 events
[2026-08-26T12:24:51.103+0000] {logging_mixin.py:188} INFO - 2026-08-26 12:24:51,103 | INFO | kafka_producer | Sent 245000 events
